id,file_path,file_name,title,authors,pages,file_size_bytes,sha256,extracted_at_utc
1,0x_white_paper.pdf,0x_white_paper.pdf,0x white paper,,,319570,08d86f1ae26171ff7e7a3be1577a4f7e77911cfee6700d9c24c9d8f8c2971e89,2026-05-09T16:02:18.817032+00:00
2,20160404-XBRLUS-Blockchain.pdf,20160404-XBRLUS-Blockchain.pdf,20160404 XBRLUS Blockchain,,,10808841,dd17291230bfb167d14c46eecaf3af847607750d6009a053577a02636bfcde31,2026-05-09T16:02:18.817032+00:00
3,3Party-OW-iftach.pdf,3Party-OW-iftach.pdf,3Party OW iftach,,,3302491,cc5c1079e656f0e34719835bcbcbc2ea4d2b2f50a36cf1a16b904d84744f4d97,2026-05-09T16:02:18.817032+00:00
4,3dsecure.pdf,3dsecure.pdf,3dsecure,,,163372,33605a191bef2ae2a3efc3f4bbf909cd7d101bbb7b8372232d973bb4c0a7b0aa,2026-05-09T16:02:18.817032+00:00
5,A Brief Survey of Cryptocurrency Systems.pdf,A Brief Survey of Cryptocurrency Systems.pdf,A Brief Survey of Cryptocurrency Systems,,,591814,5466288a5ef0163a5f37b798c98d22c0891fd40c16e89d5173f2bc459923f597,2026-05-09T16:02:18.817032+00:00
6,A Decentralized Noise Pollution Monitoring.pdf,A Decentralized Noise Pollution Monitoring.pdf,A Decentralized Noise Pollution Monitoring,,,409905,3edd3f2ec0b3ad9f2bc6a60783d049631fe28a6ae4ab0a418ca22d906036bf23,2026-05-09T16:02:18.817032+00:00
7,A Dissection of Bitcoin - Paul Huang.pdf,A Dissection of Bitcoin - Paul Huang.pdf,A Dissection of Bitcoin Paul Huang,,,895173,4b417dd77aadbf2228d30540bf5e1b81157c8a9a2749a3b52a8f5f37f8c2f340,2026-05-09T16:02:18.817032+00:00
8,A Fast and Scalable Cryptocurrency Protocol.pdf,A Fast and Scalable Cryptocurrency Protocol.pdf,A Fast and Scalable Cryptocurrency Protocol,,,574166,34d97db134879580aceb3f55ccf665e740cf344ae598bb15d528ea412a77f88a,2026-05-09T16:02:18.817032+00:00
9,A Key Backup Scheme Based on Bitcoin.pdf,A Key Backup Scheme Based on Bitcoin.pdf,A Key Backup Scheme Based on Bitcoin,,,251866,9fcd6511a4e20cc3c20129cb98e45c44ca272f7e96d54689189954fbb250f236,2026-05-09T16:02:18.817032+00:00
10,A New Look at the Refund Mechanism in the bitcoin payment protocol.pdf,A New Look at the Refund Mechanism in the bitcoin payment protocol.pdf,A New Look at the Refund Mechanism in the bitcoin payment protocol,,,504804,a394ffe475241249fbd6601d3cb3f57682fd256b45091ff9e4e8c24d554e9a8a,2026-05-09T16:02:18.817032+00:00
11,A Novel Method for Decentralised Peer-to-Peer Software License.pdf,A Novel Method for Decentralised Peer-to-Peer Software License.pdf,A Novel Method for Decentralised Peer to Peer Software License,,,1216237,4c7c8d19acd46abd9a8ea5b266628b4de5275974ce609b091b1e0247870e1266,2026-05-09T16:02:18.817032+00:00
12,A Privacy-preserving Community-based P2P OSNs.pdf,A Privacy-preserving Community-based P2P OSNs.pdf,A Privacy preserving Community based P2P OSNs,,,1053264,07a870c472882531328603ae753619d23690d37bf1ffa1d60cc987dc9eb5f800,2026-05-09T16:02:18.817032+00:00
13,A Programmer’s Guide to Ethereum and Serpent.pdf,A Programmer’s Guide to Ethereum and Serpent.pdf,A Programmer’s Guide to Ethereum and Serpent,,,161255,5b3f6161670a7b2cc39a4a4a065528a65ef003102c8b6290212e63ab92f70268,2026-05-09T16:02:18.817032+00:00
14,A Proof-of-Stake protocol for bitcoin subchains.pdf,A Proof-of-Stake protocol for bitcoin subchains.pdf,A Proof of Stake protocol for bitcoin subchains,,,415735,fdea94eecd13097c9b72a598b3abef028cb861ab6e53c989cc5b23d06b9117a1,2026-05-09T16:02:18.817032+00:00
15,A Provably Secure Proof-of-Stake Blockchain Protocol.pdf,A Provably Secure Proof-of-Stake Blockchain Protocol.pdf,A Provably Secure Proof of Stake Blockchain Protocol,,,403251,94fec2bde1477ee16ef10f00b403c912357f13143eb18769bac52637a94a963c,2026-05-09T16:02:18.817032+00:00
